system:index,date,potential_evaporation_sum,temperature_2m,total_precipitation_sum,.geo
20000101,2000-01-01,-2.2633732782910524E-4,269.5205602965174,0.0038029943794296688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000102,2000-01-02,-4.3670000431230685E-4,271.49857791573396,0.0026598784797116906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000103,2000-01-03,-3.373343723973599E-4,269.6698982882436,1.5818659780891925E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000104,2000-01-04,-5.329102863701616E-4,270.77047070859993,4.379285032457424E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000105,2000-01-05,-3.6248359933384815E-4,273.5135331440611,0.0019775051447474567,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000106,2000-01-06,-2.9584482987535607E-4,270.40423622291644,1.6619798324308415E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000107,2000-01-07,-3.153069121732067E-4,271.49844201605276,3.073768959622096E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000108,2000-01-08,-4.0218124134536827E-4,270.51765536839133,1.0510958974310648E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000109,2000-01-09,-3.2087113595351225E-4,269.90125317684044,8.039115576305817E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000110,2000-01-10,-4.845256008143058E-4,270.9622358781886,4.941071475680147E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000111,2000-01-11,-5.668097536622188E-4,270.09187932403086,8.713116573617952E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000112,2000-01-12,-5.815441725792304E-4,267.82133433676154,3.330645251066374E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000113,2000-01-13,-5.299600315556552E-4,266.45583581532065,1.1212283615590928E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000114,2000-01-14,-5.361591724619788E-4,266.6892528481388,8.957806872029112E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000115,2000-01-15,-5.719457793909991E-4,267.64082282851285,1.8461089211388763E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000116,2000-01-16,-6.875053787373126E-4,267.98660559025853,5.188178363749887E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000117,2000-01-17,-0.0013530063871189833,271.84199899639236,0.004073721303868034,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000118,2000-01-18,-0.0013234492531386313,273.17362971903464,0.012255785646468323,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000119,2000-01-19,-0.0020785679315318997,270.04318171859074,0.002170553662590165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000120,2000-01-20,-0.001692821913799627,269.5901485568979,0.0013491765493013322,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000121,2000-01-21,-0.001960630662966908,270.59736990013494,0.009316105982520253,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000122,2000-01-22,-5.858905397897673E-4,269.1003917126152,0.0058435785399527035,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000123,2000-01-23,-6.932135507341043E-4,268.22638711998195,0.0046966131878233884,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000124,2000-01-24,-8.122417805317368E-4,262.35862917057136,5.115935903158415E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000125,2000-01-25,-6.387604790041558E-4,259.8797483533377,7.776110524465897E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000126,2000-01-26,-9.301612021039898E-4,261.5949951939571,4.528454220766618E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000127,2000-01-27,-0.0011158487314657888,266.04440365281187,4.960524112593942E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000128,2000-01-28,-0.0011203606347875144,267.50388880368337,2.176745019538385E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000129,2000-01-29,-0.001971464388913679,272.1507895651444,0.00491676480758819,"{""type"":""MultiPoint"",""coordinates"":[]}"
